# ============================================================
# EXTREME NIGHTMARE: THE SINGULARITY
# ============================================================
# 2000+ hubs | 10 drones | Designed for maximum suffering
#
# EXTREME CONSTRAINTS FOR 10 DRONES:
#   - 200 serial entry gates, ALL max_drones=1 AND max_link_capacity=1
#   - 300 dead-end branches scattered across 20 layers
#   - 50 closed loop clusters (15 hubs each = 750 hubs)
#   - 100 micro-gates in series, all max_drones=1
#   - 80 priority mirage chains that ALL dead-end
#   - 200 overflow pockets with max_drones=1 and back-loops
#   - 100-lane funnel merging to 1 hub with max_drones=1
#   - 200-hub grinder with back-traps every 5 steps
#   - 150-hub final squeeze where EVERY hub is max_drones=1
#   - Cross-connections creating 500+ false paths
#   - Only 1 true path hidden through the chaos
#
# With only 10 drones, every bottleneck becomes 10x worse.
# The algorithm must find the ONE viable path through 2000+ hubs.
# ============================================================

nb_drones: 10


# ============================================================
# LAYER 0: ENTRY HELL — 200 serial gates
# ============================================================
# 10 drones must pass through 200 gates, each max_drones=1
# AND each link is max_link_capacity=1 (extreme serialization)

start_hub: strat 0 0 [color=green max_drones=10]
hub: gate1 1 0 [color=red max_drones=1]
hub: gate2 2 0 [color=red max_drones=1]
hub: gate3 3 0 [color=red max_drones=1]
hub: gate4 4 0 [color=red max_drones=1]
hub: gate5 5 0 [color=red max_drones=1]
hub: gate6 6 0 [color=red max_drones=1]
hub: gate7 7 0 [color=red max_drones=1]
hub: gate8 8 0 [color=red max_drones=1]
hub: gate9 9 0 [color=red max_drones=1]
hub: gate10 10 0 [color=red max_drones=1]
hub: gate11 11 0 [color=red max_drones=1]
hub: gate12 12 0 [color=red max_drones=1]
hub: gate13 13 0 [color=red max_drones=1]
hub: gate14 14 0 [color=red max_drones=1]
hub: gate15 15 0 [color=red max_drones=1]
hub: gate16 16 0 [color=red max_drones=1]
hub: gate17 17 0 [color=red max_drones=1]
hub: gate18 18 0 [color=red max_drones=1]
hub: gate19 19 0 [color=red max_drones=1]
hub: gate20 20 0 [color=red max_drones=1]
hub: gate21 21 0 [color=red max_drones=1]
hub: gate22 22 0 [color=red max_drones=1]
hub: gate23 23 0 [color=red max_drones=1]
hub: gate24 24 0 [color=red max_drones=1]
hub: gate25 25 0 [color=red max_drones=1]
hub: gate26 26 0 [color=red max_drones=1]
hub: gate27 27 0 [color=red max_drones=1]
hub: gate28 28 0 [color=red max_drones=1]
hub: gate29 29 0 [color=red max_drones=1]
hub: gate30 30 0 [color=red max_drones=1]
hub: gate31 31 0 [color=red max_drones=1]
hub: gate32 32 0 [color=red max_drones=1]
hub: gate33 33 0 [color=red max_drones=1]
hub: gate34 34 0 [color=red max_drones=1]
hub: gate35 35 0 [color=red max_drones=1]
hub: gate36 36 0 [color=red max_drones=1]
hub: gate37 37 0 [color=red max_drones=1]
hub: gate38 38 0 [color=red max_drones=1]
hub: gate39 39 0 [color=red max_drones=1]
hub: gate40 40 0 [color=red max_drones=1]
hub: gate41 41 0 [color=red max_drones=1]
hub: gate42 42 0 [color=red max_drones=1]
hub: gate43 43 0 [color=red max_drones=1]
hub: gate44 44 0 [color=red max_drones=1]
hub: gate45 45 0 [color=red max_drones=1]
hub: gate46 46 0 [color=red max_drones=1]
hub: gate47 47 0 [color=red max_drones=1]
hub: gate48 48 0 [color=red max_drones=1]
hub: gate49 49 0 [color=red max_drones=1]
hub: gate50 50 0 [color=red max_drones=1]
hub: gate51 51 0 [color=red max_drones=1]
hub: gate52 52 0 [color=red max_drones=1]
hub: gate53 53 0 [color=red max_drones=1]
hub: gate54 54 0 [color=red max_drones=1]
